Province,MONTH,TAVG,TMAX,TMIN,,
JS,2024/10,19.1,24.1,14.1,,
JS,2024/11,11.5,16.8,6.3,,
JS,2024/12,5.4,10.4,0.5,,
JX,2023/01,9.1,14.1,4.2,,
JX,2023/02,10.2,15.1,5.3,,
JX,2023/03,15.2,20.3,10.1,,
JX,2023/04,19.7,24.9,14.6,,
JX,2023/05,23.6,28.8,18.4,,
JX,2023/06,27.2,32.1,22.3,,
JX,2023/07,29.6,34.3,24.9,,
JX,2023/08,29.5,34.2,24.8,,
JX,2023/09,26,30.9,21.1,,
JX,2023/10,20.2,25.5,14.9,,
JX,2023/11,14.3,19.7,8.9,,
JX,2023/12,9.4,14.9,3.9,,
JX,2024/01,9.3,14.3,4.4,,
JX,2024/02,10.1,15,5.2,,
JX,2024/03,15.1,20.2,10,,
JX,2024/04,19.9,25.1,14.8,,
JX,2024/05,23.7,28.9,18.5,,
JX,2024/06,27.3,32.2,22.4,,
JX,2024/07,29.7,34.4,25,,
JX,2024/08,29.6,34.3,24.9,,
JX,2024/09,26.1,31,21.2,,
JX,2024/10,20.4,25.7,15.1,,
JX,2024/11,14.5,19.9,9.1,,
JX,2024/12,9.6,15.1,4.1,,
JL,2023/01,-13.4,-6.6,-20.2,,
JL,2023/02,-8.1,-0.7,-15.4,,
JL,2023/03,1.3,8.7,-6.1,,
JL,2023/04,10.1,18.2,2,,
JL,2023/05,17.4,25.2,9.5,,
JL,2023/06,22.1,29.5,14.6,,
JL,2023/07,24.3,31.1,17.5,,
JL,2023/08,22.6,29.4,15.9,,
JL,2023/09,16.4,23.8,9,,
JL,2023/10,8.3,16.1,0.4,,
JL,2023/11,-3.1,4.9,-11.1,,
JL,2023/12,-12.3,-5.2,-19.3,,
JL,2024/01,-12.9,-6.1,-19.7,,
JL,2024/02,-8.3,-0.9,-15.6,,
JL,2024/03,1.1,8.5,-6.3,,
JL,2024/04,10.3,18.4,2.2,,
JL,2024/05,17.5,25.3,9.6,,
JL,2024/06,22.2,29.6,14.7,,
JL,2024/07,24.4,31.2,17.6,,
JL,2024/08,22.8,29.6,16.1,,
JL,2024/09,16.6,24,9.2,,
JL,2024/10,8.5,16.3,0.6,,
JL,2024/11,-2.9,5.1,-10.9,,
JL,2024/12,-11.9,-4.8,-18.9,,
LN,2023/01,-9.1,-2.3,-15.8,,
LN,2023/02,-3.6,3.5,-10.6,,
LN,2023/03,4.9,12.3,-2.6,,
LN,2023/04,12.9,20.7,5,,
LN,2023/05,19.2,26.8,11.6,,
LN,2023/06,23.5,30.6,16.4,,
LN,2023/07,25.6,32.1,19,,
LN,2023/08,24,30.5,17.5,,
LN,2023/09,19,25.9,12.1,,
LN,2023/10,11.3,18.6,3.9,,
LN,2023/11,0.5,8,-7,,
LN,2023/12,-8.2,-1.1,-15.2,,
LN,2024/01,-8.6,-1.8,-15.3,,
LN,2024/02,-3.8,3.3,-10.8,,
LN,2024/03,4.8,12.2,-2.7,,
LN,2024/04,13.1,20.9,5.2,,
LN,2024/05,19.3,26.9,11.7,,
LN,2024/06,23.6,30.7,16.5,,
LN,2024/07,25.7,32.2,19.1,,
LN,2024/08,24.2,30.7,17.7,,
LN,2024/09,19.2,26.1,12.3,,
LN,2024/10,11.5,18.8,4.1,,
LN,2024/11,0.7,8.2,-6.8,,
LN,2024/12,-7.8,-0.7,-14.8,,
MO,2023/01,17.3,20.7,13.9,,
MO,2023/02,18.6,22,15.2,,
MO,2023/03,21.1,24.5,17.7,,
MO,2023/04,24,27.5,20.6,,
MO,2023/05,26.8,30.2,23.4,,
MO,2023/06,28.4,31.5,25.3,,
MO,2023/07,29.3,32.2,26.4,,
MO,2023/08,29,31.9,26.1,,
MO,2023/09,28.1,31,25.2,,
MO,2023/10,25.6,28.9,22.4,,
MO,2023/11,21.7,25.4,18,,
MO,2023/12,17.9,21.6,14.2,,
MO,2024/01,17.5,20.9,14.1,,
MO,2024/02,18.5,21.9,15.1,,
MO,2024/03,21,24.4,17.6,,
MO,2024/04,24.1,27.6,20.7,,
MO,2024/05,26.9,30.3,23.5,,
MO,2024/06,28.5,31.6,25.4,,
MO,2024/07,29.4,32.3,26.5,,
MO,2024/08,29.1,32,26.2,,
MO,2024/09,28.2,31.1,25.3,,
MO,2024/10,25.7,29,22.5,,
MO,2024/11,21.8,25.5,18.1,,
MO,2024/12,18.1,21.8,14.4,,
NX,2023/01,-5.9,1.8,-13.5,,
NX,2023/02,-1.6,6,-9.1,,
NX,2023/03,5.1,12.5,-2.4,,
NX,2023/04,10.8,18.8,2.7,,
NX,2023/05,16.2,24.2,8.1,,
NX,2023/06,20.2,28,12.3,,
NX,2023/07,22.5,30,15,,
NX,2023/08,21.2,28.5,13.9,,
NX,2023/09,15.9,23.7,8.1,,
NX,2023/10,8.6,16.8,0.4,,
NX,2023/11,-0.7,7.6,-9,,
NX,2023/12,-6.9,0.7,-14.5,,
NX,2024/01,-5.5,2.2,-13.1,,
NX,2024/02,-1.9,5.7,-9.4,,
NX,2024/03,5,12.4,-2.5,,
NX,2024/04,11,19,2.9,,
NX,2024/05,16.3,24.3,8.2,,
NX,2024/06,20.3,28.1,12.4,,
NX,2024/07,22.6,30.1,15.1,,
NX,2024/08,21.3,28.6,14,,
NX,2024/09,16,23.8,8.2,,
NX,2024/10,8.8,17,0.6,,
NX,2024/11,-0.5,7.8,-8.8,,
NX,2024/12,-6.6,1,-14.2,,
QH,2023/01,-9.2,-1.7,-16.7,,
QH,2023/02,-5.9,1.7,-13.5,,
QH,2023/03,0.1,7.8,-7.6,,
QH,2023/04,5.3,13.4,-2.9,,
QH,2023/05,9.8,17.8,1.7,,
QH,2023/06,14,21.8,6.2,,
QH,2023/07,16.4,23.7,9,,
QH,2023/08,15.3,22.5,8.1,,
QH,2023/09,10.4,18.2,2.6,,
QH,2023/10,3.2,11.3,-4.9,,
QH,2023/11,-5.2,3.1,-13.5,,
QH,2023/12,-10.7,-3,-18.3,,
QH,2024/01,-8.8,-1.3,-16.3,,
QH,2024/02,-6.1,1.5,-13.7,,
QH,2024/03,-0.1,7.6,-7.8,,
QH,2024/04,5.5,13.6,-2.7,,
QH,2024/05,9.9,17.9,1.8,,
QH,2024/06,14.1,21.9,6.3,,
QH,2024/07,16.5,23.8,9.1,,
QH,2024/08,15.4,22.6,8.2,,
QH,2024/09,10.5,18.3,2.7,,
QH,2024/10,3.4,11.5,-4.7,,
QH,2024/11,-5,3.3,-13.3,,
QH,2024/12,-10.4,-2.7,-18,,
SN,2023/01,-1.3,5.2,-7.7,,
SN,2023/02,2.4,9.3,-4.6,,
SN,2023/03,9.4,16.5,2.3,,
SN,2023/04,15.1,22.4,7.7,,
SN,2023/05,19.5,26.9,12.1,,
SN,2023/06,23.6,30.4,16.9,,
SN,2023/07,26.7,33,20.3,,
SN,2023/08,24.9,31.2,18.6,,
SN,2023/09,19.4,26.3,12.5,,
SN,2023/10,13.2,20.3,6.1,,
SN,2023/11,4.9,12.2,-2.4,,
SN,2023/12,-0.8,5.9,-7.6,,
SN,2024/01,-0.9,5.6,-7.3,,
SN,2024/02,2.2,9.1,-4.8,,
SN,2024/03,9.3,16.4,2.2,,
SN,2024/04,15.3,22.6,7.9,,
SN,2024/05,19.6,27,12.2,,
SN,2024/06,23.7,30.5,17,,
SN,2024/07,26.8,33.1,20.4,,
SN,2024/08,25.1,31.4,18.8,,
SN,2024/09,19.6,26.5,12.7,,
SN,2024/10,13.4,20.5,6.3,,
SN,2024/11,5.1,12.4,-2.2,,
SN,2024/12,-0.5,6.2,-7.3,,
SD,2023/01,0.5,7,-6,,
SD,2023/02,4,10.6,-2.6,,
SD,2023/03,10.1,16.9,3.3,,
SD,2023/04,15.7,22.5,8.8,,
SD,2023/05,21.1,27.8,14.3,,
SD,2023/06,25.4,31.3,19.5,,
SD,2023/07,27.6,32.8,22.4,,
SD,2023/08,26.6,31.7,21.5,,
SD,2023/09,22,27.6,16.5,,
SD,2023/10,15.7,21.8,9.5,,
SD,2023/11,7.2,13.7,0.7,,
SD,2023/12,0.8,7.2,-5.5,,
SD,2024/01,0.9,7.4,-5.6,,
SD,2024/02,3.8,10.4,-2.8,,
SD,2024/03,10,16.8,3.2,,
SD,2024/04,15.9,22.7,9,,
SD,2024/05,21.2,27.9,14.4,,
SD,2024/06,25.5,31.4,19.6,,
SD,2024/07,27.7,32.9,22.5,,
SD,2024/08,26.8,31.9,21.7,,
SD,2024/09,22.2,27.8,16.7,,
SD,2024/10,15.9,22,9.7,,
SD,2024/11,7.4,13.9,0.9,,
SD,2024/12,1.1,7.5,-5.2,,
SH,2023/01,6.7,10.8,2.6,,
SH,2023/02,8.7,12.8,4.6,,
SH,2023/03,13.7,18,9.4,,
SH,2023/04,17.7,22,13.5,,
SH,2023/05,22.1,26.3,17.9,,
SH,2023/06,25.3,29,21.5,,
SH,2023/07,29.6,33.3,25.9,,
SH,2023/08,29.4,33,25.8,,
SH,2023/09,25.7,29.6,21.8,,
SH,2023/10,20.2,24.6,15.8,,
SH,2023/11,13.8,18.3,9.3,,
SH,2023/12,7.6,12,3.2,,
SH,2024/01,7,11.1,2.9,,
SH,2024/02,8.5,12.6,4.4,,
SH,2024/03,13.6,17.9,9.3,,
SH,2024/04,17.9,22.2,13.7,,
SH,2024/05,22.2,26.4,18,,
SH,2024/06,25.4,29.1,21.6,,
SH,2024/07,29.7,33.4,26,,
SH,2024/08,29.5,33.1,25.9,,
SH,2024/09,25.8,29.7,21.9,,
SH,2024/10,20.4,24.8,16,,
SH,2024/11,14,18.5,9.5,,
SH,2024/12,7.8,12.2,3.4,,
SX,2023/01,-3.1,4.2,-10.5,,
SX,2023/02,1,8.4,-6.4,,
SX,2023/03,8.1,15.7,0.5,,
SX,2023/04,14.2,22.1,6.3,,
SX,2023/05,19.4,27.2,11.5,,
SX,2023/06,23.6,30.7,16.4,,
SX,2023/07,26.1,32.5,19.7,,
SX,2023/08,24.4,30.8,18,,
SX,2023/09,19.3,26.4,12.2,,
SX,2023/10,11.9,19.3,4.6,,
SX,2023/11,2.5,10.2,-5.2,,
SX,2023/12,-3.2,4.4,-10.8,,
SX,2024/01,-2.7,4.6,-10.1,,
SX,2024/02,0.8,8.2,-6.6,,
SX,2024/03,8,15.6,0.4,,
SX,2024/04,14.4,22.3,6.5,,
SX,2024/05,19.5,27.3,11.6,,
SX,2024/06,23.7,30.8,16.5,,
SX,2024/07,26.2,32.6,19.8,,
SX,2024/08,24.6,31,18.2,,
SX,2024/09,19.5,26.6,12.4,,
SX,2024/10,12.1,19.5,4.8,,
SX,2024/11,2.7,10.4,-5,,
SX,2024/12,-2.9,4.7,-10.5,,
SC,2023/01,8.1,13.4,2.9,,
SC,2023/02,10.6,16.6,4.6,,
SC,2023/03,15.5,22.3,8.7,,
SC,2023/04,17.5,23.8,11.1,,
SC,2023/05,21.1,27.8,14.4,,
SC,2023/06,24.3,30.4,18.2,,
SC,2023/07,26.4,32.1,20.7,,
SC,2023/08,26.7,32.7,20.7,,
SC,2023/09,22.3,28.3,16.3,,
SC,2023/10,17.2,23.1,11.3,,
SC,2023/11,12.6,18.5,6.8,,
SC,2023/12,8.7,14.5,3,,
SC,2024/01,8.3,13.6,3.1,,
SC,2024/02,10.5,16.5,4.5,,
SC,2024/03,15.4,22.2,8.6,,
SC,2024/04,17.7,24,11.3,,
SC,2024/05,21.2,27.9,14.5,,
SC,2024/06,24.4,30.5,18.3,,
SC,2024/07,26.5,32.2,20.8,,
SC,2024/08,26.8,32.8,20.8,,
SC,2024/09,22.4,28.4,16.4,,
SC,2024/10,17.4,23.3,11.5,,
SC,2024/11,12.8,18.7,7,,
SC,2024/12,8.9,14.7,3.2,,
TW,2023/01,17.9,21.8,13.9,,
TW,2023/02,18.9,22.8,15,,
TW,2023/03,20.8,24.8,16.8,,
TW,2023/04,23.6,27.6,19.6,,
TW,2023/05,26.5,30.4,22.6,,
TW,2023/06,28.5,32.2,24.9,,
TW,2023/07,29.1,32.6,25.7,,
TW,2023/08,28.8,32.3,25.3,,
TW,2023/09,27.9,31.4,24.4,,
TW,2023/10,25.2,29,21.5,,
TW,2023/11,22.1,26.1,18.1,,
TW,2023/12,18.9,23,14.8,,
TW,2024/01,18.1,22,14.1,,
TW,2024/02,18.8,22.7,14.9,,
TW,2024/03,20.7,24.7,16.7,,
TW,2024/04,23.7,27.7,19.7,,
TW,2024/05,26.6,30.5,22.7,,
TW,2024/06,28.6,32.3,25,,
TW,2024/07,29.2,32.7,25.8,,
TW,2024/08,28.9,32.4,25.4,,
TW,2024/09,28,31.5,24.5,,
TW,2024/10,25.3,29.1,21.6,,
TW,2024/11,22.2,26.2,18.2,,
TW,2024/12,19.1,23.2,15,,
TJ,2023/01,-2.8,3.5,-9.1,,
TJ,2023/02,1,7.3,-5.3,,
TJ,2023/03,8.8,15.3,2.3,,
TJ,2023/04,15.8,22.6,9,,
TJ,2023/05,22.3,28.9,15.7,,
TJ,2023/06,26.9,32.7,21.1,,
TJ,2023/07,28.6,33.9,23.3,,
TJ,2023/08,27.2,32.7,21.8,,
TJ,2023/09,22.2,28.1,16.3,,
TJ,2023/10,14.7,21,8.3,,
TJ,2023/11,5,11,-1,,
TJ,2023/12,-3,3.2,-9.2,,
TJ,2024/01,-2.4,3.9,-8.7,,
TJ,2024/02,0.8,7.1,-5.5,,
TJ,2024/03,8.7,15.2,2.2,,
TJ,2024/04,16,22.8,9.2,,
TJ,2024/05,22.4,29,15.8,,
TJ,2024/06,27,32.8,21.2,,
TJ,2024/07,28.7,34,23.4,,
TJ,2024/08,27.4,32.9,22,,
TJ,2024/09,22.4,28.3,16.5,,
TJ,2024/10,14.9,21.2,8.5,,
TJ,2024/11,5.2,11.2,-0.8,,
TJ,2024/12,-2.7,3.5,-8.9,,
XZ,2023/01,-5.7,3.8,-15.2,,
XZ,2023/02,-3.4,6.2,-13,,
XZ,2023/03,0.1,9.7,-9.5,,
XZ,2023/04,4.2,13.6,-5.2,,
XZ,2023/05,8.4,17.5,-0.7,,
XZ,2023/06,12.3,20.9,3.7,,
XZ,2023/07,13.4,21.3,5.4,,
XZ,2023/08,12.8,20.6,5,,
XZ,2023/09,9.6,17.9,1.3,,
XZ,2023/10,3.2,12.1,-5.7,,
XZ,2023/11,-3.1,6.1,-12.3,,
XZ,2023/12,-6.2,3.3,-15.7,,
XZ,2024/01,-5.5,4,-15,,
XZ,2024/02,-3.6,6,-13.2,,
XZ,2024/03,-0.1,9.5,-9.7,,
XZ,2024/04,4.4,13.8,-5,,
XZ,2024/05,8.5,17.6,-0.6,,
XZ,2024/06,12.4,21,3.8,,
XZ,2024/07,13.5,21.4,5.5,,
XZ,2024/08,12.9,20.7,5.1,,
XZ,2024/09,9.7,18,1.4,,
XZ,2024/10,3.4,12.3,-5.5,,
XZ,2024/11,-2.9,6.3,-12.1,,
XZ,2024/12,-6,3.5,-15.5,,
XJ,2023/01,-9.7,-1.4,-18,,
XJ,2023/02,-5.8,2.3,-13,,
XJ,2023/03,1.1,9.4,-7.2,,
XJ,2023/04,9.1,17.7,0.5,,
XJ,2023/05,15.8,24.5,7,,
XJ,2023/06,20.8,29,12.5,,
XJ,2023/07,23.7,31.4,16,,
XJ,2023/08,22.1,29.7,14.5,,
XJ,2023/09,16.5,24.7,8.3,,
XJ,2023/10,8.3,16.7,-0.1,,
XJ,2023/11,-1.9,6.5,-10.3,,
XJ,2023/12,-10,-1.5,-18.5,,
XJ,2024/01,-9.3,-1,-17.6,,
XJ,2024/02,-6.1,2,-14.2,,
XJ,2024/03,0.9,9.2,-7.4,,
XJ,2024/04,9.3,17.9,0.7,,
XJ,2024/05,15.9,24.6,7.1,,
XJ,2024/06,20.9,29.1,12.6,,
XJ,2024/07,23.8,31.5,16.1,,
XJ,2024/08,22.3,29.9,14.7,,
XJ,2024/09,16.7,24.9,8.5,,
XJ,2024/10,8.5,16.9,0.1,,
XJ,2024/11,-1.7,6.7,-10.1,,
XJ,2024/12,-9.7,-1.2,-18.2,,
YN,2023/01,11.6,19.5,3.7,,
YN,2023/02,14.7,22.9,6.4,,
YN,2023/03,17.7,25.8,9.6,,
YN,2023/04,20.4,28.3,12.5,,
YN,2023/05,22.3,29.7,14.9,,
YN,2023/06,23.1,30,16.2,,
YN,2023/07,22.7,29.1,16.3,,
YN,2023/08,22.4,28.8,16,,
YN,2023/09,21.2,27.9,14.5,,
YN,2023/10,18.1,25.2,11,,
YN,2023/11,13.8,21.5,6.1,,
YN,2023/12,10.8,18.8,2.8,,
YN,2024/01,11.8,19.7,3.9,,
YN,2024/02,14.6,22.8,6.3,,
YN,2024/03,17.6,25.7,9.5,,
YN,2024/04,20.5,28.4,12.6,,
YN,2024/05,22.4,29.8,15,,
YN,2024/06,23.2,30.1,16.3,,
YN,2024/07,22.8,29.2,16.4,,
YN,2024/08,22.5,28.9,16.1,,
YN,2024/09,21.3,28,14.6,,
YN,2024/10,18.3,25.4,11.2,,
YN,2024/11,14,21.7,6.3,,
YN,2024/12,11,19,3,,
ZJ,2023/01,8.7,13.9,3.5,,
ZJ,2023/02,10.3,15.4,5.2,,
ZJ,2023/03,14.9,20.1,9.7,,
ZJ,2023/04,18.8,24,13.6,,
ZJ,2023/05,22.9,28.2,17.6,,
ZJ,2023/06,25.8,30.7,20.9,,
ZJ,2023/07,30.3,35,25.7,,
ZJ,2023/08,30,34.7,25.3,,
ZJ,2023/09,26.9,31.9,21.9,,
ZJ,2023/10,20.9,26.2,15.6,,
ZJ,2023/11,14.4,20.3,8.5,,
ZJ,2023/12,7.7,13.6,1.8,,
ZJ,2024/01,9,14.2,3.8,,
ZJ,2024/02,10.1,15.2,5,,
ZJ,2024/03,14.8,20,9.6,,
ZJ,2024/04,19,24.2,13.8,,
ZJ,2024/05,23,28.3,17.7,,
ZJ,2024/06,25.9,30.8,21,,
ZJ,2024/07,30.4,35.1,25.8,,
ZJ,2024/08,30.8,35.4,26.2,,
ZJ,2024/09,27.4,32.3,22.5,,
ZJ,2024/10,21.3,26.6,16,,
ZJ,2024/11,14.8,20.7,8.9,,
ZJ,2024/12,8,13.9,2.1,,